Testes Data Hora CpuPercent QntCpus CpuTimesUser CpuTimesSystem CpuTimesIdle MemTotal MemAvaliable MemUsed DiskUsed DiskTotal DiskPercent BytesSend BytesRecv
1 2023/03/29 02:20:55 6.84 4 0.02 2.31 89.29 3801 832 1664 72689360 31837 479592104 98304 0 0
2 2023/03/29 02:20:58 6.84 4 0.02 2.31 89.29 3801 830 1662 72689360 31837 479592104 98304 0 0
3 2023/03/29 02:21:01 6.84 4 0.02 2.31 89.29 3801 830 1664 72689360 31837 479592104 98304 0 0
4 2023/03/29 02:21:04 6.84 4 0.02 2.31 89.29 3801 841 1653 72689360 31837 479592104 98304 0 0
5 2023/03/29 02:21:07 6.84 4 0.02 2.31 89.29 3801 840 1654 72689360 31837 479592104 98304 0 0
6 2023/03/29 02:21:10 6.84 4 0.02 2.31 89.29 3801 838 1655 72689360 31837 479592104 98304 0 0
7 2023/03/29 02:21:13 6.84 4 0.02 2.31 89.29 3801 835 1658 72689376 31837 479592104 98304 0 0
8 2023/03/29 02:21:17 6.84 4 0.02 2.31 89.29 3801 828 1654 72689376 31837 479592104 98304 0 0
9 2023/03/29 02:21:20 6.84 4 0.02 2.31 89.30 3801 830 1660 72689376 31837 479592104 98304 0 0
10 2023/03/29 02:21:23 6.84 4 0.02 2.31 89.30 3801 828 1662 72689376 31837 479592104 98304 0 0
11 2023/03/29 02:21:26 6.83 4 0.02 2.31 89.30 3801 825 1665 72689376 31837 479592104 98304 0 0
12 2023/03/29 02:21:29 6.83 4 0.02 2.31 89.30 3801 832 1657 72689376 31837 479592104 98304 0 0
13 2023/03/29 02:21:32 6.83 4 0.02 2.31 89.30 3801 831 1657 72689620 31837 479592104 98304 0 0
14 2023/03/29 02:21:35 6.83 4 0.02 2.31 89.30 3801 830 1660 72689620 31837 479592104 98304 0 0
15 2023/03/29 02:21:38 6.83 4 0.02 2.31 89.30 3801 828 1662 72689620 31837 479592104 98304 0 0
16 2023/03/29 02:21:41 6.83 4 0.02 2.31 89.30 3801 834 1655 72689608 31837 479592104 98304 0 0
17 2023/03/29 02:21:44 6.83 4 0.02 2.31 89.30 3801 830 1660 72689608 31837 479592104 98304 0 0
18 2023/03/29 02:21:47 6.83 4 0.02 2.31 89.31 3801 830 1659 72689608 31837 479592104 98304 0 0
19 2023/03/29 02:21:51 6.83 4 0.02 2.31 89.31 3801 835 1655 72689608 31837 479592104 98304 0 0
20 2023/03/29 02:21:54 6.83 4 0.02 2.31 89.31 3801 840 1650 72689608 31837 479592104 98304 0 0
21 2023/03/29 02:21:57 6.83 4 0.02 2.31 89.31 3801 844 1645 72689608 31837 479592104 98304 0 0
22 2023/03/29 02:22:00 6.83 4 0.02 2.31 89.31 3801 842 1648 72689608 31837 479592104 98304 0 0
23 2023/03/29 02:22:03 6.83 4 0.02 2.31 89.31 3801 839 1650 72689608 31837 479592104 98304 0 0
24 2023/03/29 02:22:06 6.82 4 0.02 2.31 89.31 3801 838 1653 72689608 31837 479592104 98304 0 0
25 2023/03/29 02:22:09 6.82 4 0.02 2.31 89.31 3801 836 1655 72689612 31837 479592104 98304 0 0
26 2023/03/29 02:22:12 6.82 4 0.02 2.31 89.31 3801 843 1650 72689612 31837 479592104 98304 0 0
27 2023/03/29 02:22:15 6.82 4 0.02 2.31 89.31 3801 841 1652 72689612 31837 479592104 98304 0 0
28 2023/03/29 02:22:18 6.82 4 0.02 2.31 89.31 3801 840 1653 72689612 31837 479592104 98304 0 0
29 2023/03/29 02:22:22 6.82 4 0.02 2.31 89.32 3801 839 1654 72689612 31837 479592104 98304 0 0
30 2023/03/29 02:22:25 6.82 4 0.02 2.31 89.32 3801 838 1658 72689612 31837 479592104 98304 0 0
31 2023/03/29 02:22:28 6.82 4 0.02 2.31 89.32 3801 838 1658 72689612 31837 479592104 98304 0 0
32 2023/03/29 02:22:31 6.82 4 0.02 2.31 89.32 3801 838 1659 72689612 31837 479592104 98304 0 0
33 2023/03/29 02:22:34 6.82 4 0.02 2.31 89.32 3801 837 1659 72689612 31837 479592104 98304 0 0
34 2023/03/29 02:22:37 6.82 4 0.02 2.31 89.32 3801 848 1649 72689612 31837 479592104 98304 0 0
35 2023/03/29 02:22:40 6.81 4 0.02 2.31 89.32 3801 843 1654 72689612 31837 479592104 98304 0 0
36 2023/03/29 02:22:43 6.81 4 0.02 2.31 89.32 3801 849 1648 72689612 31837 479592104 98304 0 0
37 2023/03/29 02:22:46 6.81 4 0.02 2.31 89.33 3801 855 1642 72689612 31837 479592104 98304 0 0
38 2023/03/29 02:22:49 6.81 4 0.02 2.31 89.33 3801 854 1643 72689612 31837 479592104 98304 0 0
39 2023/03/29 02:22:52 6.81 4 0.02 2.31 89.33 3801 850 1647 72689612 31837 479592104 98304 0 0
40 2023/03/29 02:22:56 6.81 4 0.02 2.31 89.33 3801 845 1652 72689612 31837 479592104 98304 0 0
41 2023/03/29 02:22:59 6.81 4 0.02 2.31 89.33 3801 845 1656 72689612 31837 479592104 98304 0 0
42 2023/03/29 02:23:02 6.81 4 0.02 2.31 89.33 3801 845 1656 72689612 31837 479592104 98304 0 0
43 2023/03/29 02:23:05 6.81 4 0.02 2.31 89.33 3801 850 1651 72689616 31837 479592104 98304 0 0
44 2023/03/29 02:23:08 6.81 4 0.02 2.31 89.33 3801 848 1653 72689616 31837 479592104 98304 0 0
45 2023/03/29 02:23:11 6.81 4 0.02 2.31 89.33 3801 846 1654 72689616 31837 479592104 98304 0 0
46 2023/03/29 02:23:14 6.81 4 0.02 2.31 89.33 3801 844 1657 72689616 31837 479592104 98304 0 0
47 2023/03/29 02:23:17 6.80 4 0.02 2.31 89.34 3801 851 1650 72689616 31837 479592104 98304 0 0
48 2023/03/29 02:23:20 6.80 4 0.02 2.31 89.34 3801 849 1652 72689632 31837 479592104 98304 0 0
49 2023/03/29 02:23:23 6.80 4 0.02 2.31 89.34 3801 847 1653 72689632 31837 479592104 98304 0 0
50 2023/03/29 02:23:27 6.80 4 0.02 2.31 89.34 3801 846 1655 72689632 31837 479592104 98304 0 0
51 2023/03/29 02:23:30 6.80 4 0.02 2.31 89.34 3801 845 1655 72689632 31837 479592104 98304 0 0
52 2023/03/29 02:23:33 6.80 4 0.02 2.31 89.34 3801 845 1655 72689632 31837 479592104 98304 0 0
53 2023/03/29 02:23:36 6.80 4 0.02 2.31 89.34 3801 843 1657 72689632 31837 479592104 98304 0 0
54 2023/03/29 02:23:39 6.80 4 0.02 2.31 89.34 3801 846 1655 72689632 31837 479592104 98304 0 0
55 2023/03/29 02:23:42 6.80 4 0.02 2.31 89.34 3801 845 1655 72689632 31837 479592104 98304 0 0
56 2023/03/29 02:23:45 6.80 4 0.02 2.31 89.35 3801 849 1652 72689632 31837 479592104 98304 0 0
57 2023/03/29 02:23:48 6.80 4 0.02 2.31 89.35 3801 847 1654 72689632 31837 479592104 98304 0 0
58 2023/03/29 02:23:51 6.79 4 0.02 2.31 89.35 3801 861 1639 72689620 31837 479592104 98304 0 0
59 2023/03/29 02:23:54 6.79 4 0.02 2.31 89.35 3801 858 1642 72689620 31837 479592104 98304 0 0
60 2023/03/29 02:23:57 6.79 4 0.02 2.31 89.35 3801 856 1645 72689620 31837 479592104 98304 0 0
61 2023/03/29 02:24:01 6.79 4 0.02 2.31 89.35 3801 849 1652 72689620 31837 479592104 98304 0 0
62 2023/03/29 02:24:04 6.79 4 0.02 2.31 89.35 3801 863 1638 72689620 31837 479592104 98304 0 0
63 2023/03/29 02:24:07 6.79 4 0.02 2.31 89.35 3801 859 1641 72689620 31837 479592104 98304 0 0
64 2023/03/29 02:24:10 6.79 4 0.02 2.31 89.35 3801 857 1643 72689620 31837 479592104 98304 0 0
65 2023/03/29 02:24:13 6.79 4 0.02 2.31 89.36 3801 857 1644 72689620 31837 479592104 98304 0 0
66 2023/03/29 02:24:16 6.79 4 0.02 2.31 89.36 3801 856 1645 72689620 31837 479592104 98304 0 0
67 2023/03/29 02:24:19 6.79 4 0.02 2.31 89.36 3801 852 1649 72689620 31837 479592104 98304 0 0
68 2023/03/29 02:24:22 6.79 4 0.02 2.31 89.36 3801 857 1643 72689620 31837 479592104 98304 0 0
69 2023/03/29 02:24:25 6.78 4 0.02 2.31 89.36 3801 857 1643 72689620 31837 479592104 98304 0 0
70 2023/03/29 02:24:28 6.78 4 0.02 2.31 89.36 3801 857 1644 72689620 31837 479592104 98304 0 0
71 2023/03/29 02:24:31 6.78 4 0.02 2.31 89.36 3801 853 1647 72689624 31837 479592104 98304 0 0
72 2023/03/29 02:24:35 6.78 4 0.02 2.31 89.36 3801 853 1648 72689624 31837 479592104 98304 0 0
73 2023/03/29 02:24:38 6.78 4 0.02 2.31 89.37 3801 852 1648 72689624 31837 479592104 98304 0 0
74 2023/03/29 02:24:41 6.78 4 0.02 2.31 89.37 3801 849 1652 72689624 31837 479592104 98304 0 0
75 2023/03/29 02:24:44 6.78 4 0.02 2.31 89.37 3801 847 1654 72689624 31837 479592104 98304 0 0
76 2023/03/29 02:24:47 6.78 4 0.02 2.31 89.37 3801 847 1654 72689624 31837 479592104 98304 0 0
77 2023/03/29 02:24:50 6.78 4 0.02 2.31 89.37 3801 853 1647 72689624 31837 479592104 98304 0 0
78 2023/03/29 02:24:53 6.78 4 0.02 2.31 89.37 3801 850 1650 72689624 31837 479592104 98304 0 0
79 2023/03/29 02:24:56 6.78 4 0.02 2.31 89.37 3801 850 1650 72689624 31837 479592104 98304 0 0
80 2023/03/29 02:24:59 6.77 4 0.02 2.31 89.37 3801 847 1654 72689624 31837 479592104 98304 0 0
81 2023/03/29 02:25:02 6.77 4 0.02 2.31 89.37 3801 845 1655 72689624 31837 479592104 98304 0 0
82 2023/03/29 02:25:05 6.77 4 0.02 2.31 89.38 3801 850 1650 72689624 31837 479592104 98304 0 0
83 2023/03/29 02:25:09 6.77 4 0.02 2.31 89.38 3801 850 1650 72689624 31837 479592104 98304 0 0
84 2023/03/29 02:25:12 6.77 4 0.02 2.31 89.38 3801 847 1653 72689624 31837 479592104 98304 0 0
85 2023/03/29 02:25:15 6.77 4 0.02 2.31 89.38 3801 852 1648 72689624 31837 479592104 98304 0 0
