Testes Data Hora CpuPercent QntCpus CpuTimesUser CpuTimesSystem CpuTimesIdle MemTotal MemAvaliable MemUsed DiskUsed DiskTotal DiskPercent BytesSend BytesRecv
1 2023/03/29 02:29:30 6.73 4 0.02 2.30 89.45 3801 809 1689 72689648 31837 479592104 98304 0 0
2 2023/03/29 02:29:33 6.73 4 0.02 2.30 89.45 3801 801 1683 72689652 31837 479592104 98304 0 0
3 2023/03/29 02:29:36 6.73 4 0.02 2.30 89.45 3801 796 1694 72689652 31837 479592104 98304 0 0
4 2023/03/29 02:29:39 6.73 4 0.02 2.30 89.46 3801 792 1702 72689652 31837 479592104 98304 0 0
5 2023/03/29 02:29:42 6.73 4 0.02 2.30 89.46 3801 792 1702 72689652 31837 479592104 98304 0 0
6 2023/03/29 02:29:45 6.73 4 0.02 2.30 89.46 3801 789 1698 72689652 31837 479592104 98304 0 0
7 2023/03/29 02:29:48 6.73 4 0.02 2.30 89.45 3801 773 1701 72689660 31837 479592104 98304 0 0
8 2023/03/29 02:29:52 6.74 4 0.02 2.30 89.44 3801 753 1694 72689664 31837 479592104 98304 0 0
9 2023/03/29 02:29:55 6.76 4 0.02 2.30 89.42 3801 741 1705 72689664 31837 479592104 98304 0 0
10 2023/03/29 02:29:59 6.77 4 0.02 2.30 89.40 3801 738 1709 72689664 31837 479592104 98304 0 0
11 2023/03/29 02:30:02 6.79 4 0.02 2.30 89.39 3801 740 1706 72689664 31837 479592104 98304 0 0
12 2023/03/29 02:30:06 6.81 4 0.02 2.30 89.37 3801 750 1696 72689664 31837 479592104 98304 0 0
13 2023/03/29 02:30:09 6.83 4 0.02 2.30 89.35 3801 747 1700 72689664 31837 479592104 98304 0 0
14 2023/03/29 02:30:13 6.85 4 0.02 2.30 89.33 3801 744 1702 72689664 31837 479592104 98304 0 0
15 2023/03/29 02:30:16 6.87 4 0.02 2.30 89.32 3801 743 1703 72689664 31837 479592104 98304 0 0
16 2023/03/29 02:30:20 6.88 4 0.02 2.30 89.30 3801 739 1707 72689664 31837 479592104 98304 0 0
17 2023/03/29 02:30:23 6.90 4 0.02 2.30 89.28 3801 739 1708 72689664 31837 479592104 98304 0 0
18 2023/03/29 02:30:27 6.92 4 0.02 2.30 89.26 3801 738 1709 72689664 31837 479592104 98304 0 0
19 2023/03/29 02:30:30 6.94 4 0.02 2.30 89.24 3801 745 1701 72689664 31837 479592104 98304 0 0
20 2023/03/29 02:30:34 6.96 4 0.02 2.30 89.23 3801 743 1703 72689664 31837 479592104 98304 0 0
21 2023/03/29 02:30:37 6.98 4 0.02 2.30 89.21 3801 749 1697 72689664 31837 479592104 98304 0 0
22 2023/03/29 02:30:41 6.99 4 0.02 2.30 89.19 3801 748 1698 72689664 31837 479592104 98304 0 0
23 2023/03/29 02:30:44 7.01 4 0.02 2.30 89.17 3801 748 1699 72689664 31837 479592104 98304 0 0
24 2023/03/29 02:30:48 7.03 4 0.02 2.30 89.16 3801 746 1700 72689664 31837 479592104 98304 0 0
25 2023/03/29 02:30:52 7.05 4 0.02 2.30 89.14 3801 742 1704 72689668 31837 479592104 98304 0 0
26 2023/03/29 02:30:55 7.07 4 0.02 2.30 89.12 3801 741 1705 72689668 31837 479592104 98304 0 0
27 2023/03/29 02:30:59 7.08 4 0.02 2.30 89.10 3801 741 1705 72689668 31837 479592104 98304 0 0
28 2023/03/29 02:31:02 7.10 4 0.02 2.30 89.09 3801 736 1710 72689668 31837 479592104 98304 0 0
29 2023/03/29 02:31:06 7.12 4 0.02 2.30 89.07 3801 744 1702 72689668 31837 479592104 98304 0 0
30 2023/03/29 02:31:09 7.14 4 0.02 2.29 89.05 3801 738 1708 72689668 31837 479592104 98304 0 0
31 2023/03/29 02:31:13 7.16 4 0.02 2.29 89.03 3801 736 1706 72689668 31837 479592104 98304 0 0
32 2023/03/29 02:31:16 7.17 4 0.02 2.29 89.03 3801 734 1714 72689668 31837 479592104 98304 0 0
33 2023/03/29 02:31:19 7.16 4 0.02 2.29 89.03 3801 742 1706 72689668 31837 479592104 98304 0 0
34 2023/03/29 02:31:22 7.16 4 0.02 2.29 89.03 3801 739 1709 72689668 31837 479592104 98304 0 0
