Testes Data Hora CpuPercent QntCpus CpuTimesUser CpuTimesSystem CpuTimesIdle MemTotal MemAvaliable MemUsed DiskUsed DiskTotal DiskPercent BytesSend BytesRecv
1 23/03/28 01:32:02 19.29 4 3978730 1132840 32766880 3892952 1510828 2382124 0 0 NaN 69077491 309516954 
2 23/03/28 01:32:05 3.54 4 3979780 1133080 32780320 3892952 1514708 2378244 0 0 NaN 69077585 309517124 
3 23/03/28 01:32:09 0 4 3979890 1133240 32794010 3892952 1510172 2382780 0 0 NaN 69077655 309517236 
4 23/03/28 01:32:12 0.5 4 3979980 1133430 32807650 3892952 1510932 2382020 0 0 NaN 69077749 309520211 
5 23/03/28 01:32:16 3.52 4 3980140 1133610 32821190 3892952 1519168 2373784 0 0 NaN 69077937 309520552 
6 23/03/28 01:32:19 1 4 3980240 1133790 32834870 3892952 1514912 2378040 0 0 NaN 69078007 309520716 
7 23/03/28 01:32:23 1.01 4 3980340 1133970 32848510 3892952 1518476 2374476 0 0 NaN 69078358 309521037 
8 23/03/28 01:32:26 3.52 4 3980500 1134140 32862120 3892952 1514000 2378952 0 0 NaN 69078358 309521141 
9 23/03/28 01:32:30 0 4 3980640 1134280 32875800 3892952 1513496 2379456 0 0 NaN 69078428 309521305 
10 23/03/28 01:32:33 3.02 4 3980780 1134470 32889410 3892952 1512992 2379960 0 0 NaN 69078428 309521409 
11 23/03/28 01:32:37 3.52 4 3980870 1134630 32903080 3892952 1508208 2384744 0 0 NaN 69078428 309521461 
12 23/03/28 01:32:40 0 4 3981020 1134770 32916690 3892952 1509244 2383708 0 0 NaN 69078498 309521625 
13 23/03/28 01:32:44 5.05 4 3981180 1134940 32930220 3892952 1506220 2386732 0 0 NaN 69078755 309524566 
14 23/03/28 01:32:47 4.48 4 3981360 1135100 32943890 3892952 1510008 2382944 0 0 NaN 69078755 309524670 
15 23/03/28 01:32:51 0 4 3981520 1135240 32957540 3892952 1509280 2383672 0 0 NaN 69078755 309524722 
16 23/03/28 01:32:54 3.02 4 3981680 1135440 32971060 3892952 1515016 2377936 0 0 NaN 69078825 309524886 
17 23/03/28 01:32:58 3.03 4 3981770 1135560 32984750 3892952 1509220 2383732 0 0 NaN 69078825 309524990 
18 23/03/28 01:33:01 1 4 3981900 1135710 32998400 3892952 1512700 2380252 0 0 NaN 69078825 309525094 
19 23/03/28 01:33:05 6.44 4 3982050 1135900 33011980 3892952 1510940 2382012 0 0 NaN 69078895 309525206 
20 23/03/28 01:33:08 1.52 4 3982180 1136060 33025640 3892952 1506408 2386544 0 0 NaN 69078989 309525310 
21 23/03/28 01:33:12 0.5 4 3982310 1136220 33039260 3892952 1506184 2386768 0 0 NaN 69079478 309528048 
