Testes Data Hora CpuPercent QntCpus CpuTimesUser CpuTimesSystem CpuTimesIdle MemTotal MemAvaliable MemUsed DiskUsed DiskTotal DiskPercent BytesSend BytesRecv
1 23/03/28 02:08:32 2.51 4 5056810 1453460 39763000 3892952 1228484 2664468 0 0 NaN 90637576 322639015 
2 23/03/28 02:08:35 0 4 5057760 1453650 39776200 3892952 1239376 2653576 0 0 NaN 90637576 322639119 
3 23/03/28 02:08:39 3.03 4 5057940 1453800 39789660 3892952 1241828 2651124 0 0 NaN 90637646 322639231 
4 23/03/28 02:08:42 0 4 5058060 1453940 39803290 3892952 1239816 2653136 0 0 NaN 90637646 322639335 
5 23/03/28 02:08:46 0 4 5058220 1454080 39816920 3892952 1238304 2654648 0 0 NaN 90637646 322642073 
6 23/03/28 02:08:49 4.52 4 5058360 1454290 39830510 3892952 1232512 2660440 0 0 NaN 90637716 322642237 
7 23/03/28 02:08:53 0 4 5058500 1454420 39844180 3892952 1238304 2654648 0 0 NaN 90637716 322642289 
8 23/03/28 02:08:56 37.69 4 5059610 1454740 39856680 3892952 1228036 2664916 0 0 NaN 90637973 322642596 
9 23/03/28 02:09:00 100 4 5073460 1454910 39856680 3892952 1229624 2663328 0 0 NaN 90638043 322642760 
10 23/03/28 02:09:03 100 4 5087300 1455090 39856680 3892952 1218036 2674916 0 0 NaN 90638113 322642906 
11 23/03/28 02:09:07 100 4 5101180 1455220 39856680 3892952 1223356 2669596 0 0 NaN 90638113 322642958 
12 23/03/28 02:09:10 100 4 5115120 1455320 39856680 3892952 1223356 2669596 0 0 NaN 90638113 322643062 
13 23/03/28 02:09:14 100 4 5129010 1455440 39856680 3892952 1223608 2669344 0 0 NaN 90638183 322643226 
14 23/03/28 02:09:17 100 4 5142920 1455540 39856680 3892952 1231780 2661172 0 0 NaN 90638183 322645912 
15 23/03/28 02:09:21 100 4 5156840 1455640 39856680 3892952 1227272 2665680 0 0 NaN 90638183 322645964 
16 23/03/28 02:09:24 1.5 4 5167230 1455910 39860000 3892952 1228796 2664156 0 0 NaN 90638510 322646331 
17 23/03/28 02:09:28 0 4 5168080 1456180 39872780 3892952 1227360 2665592 0 0 NaN 90638510 322646435 
18 23/03/28 02:09:31 3.5 4 5168260 1456330 39886350 3892952 1234412 2658540 0 0 NaN 90638510 322646539 
19 23/03/28 02:09:35 0.5 4 5168380 1456440 39900040 3892952 1229396 2663556 0 0 NaN 90638580 322646693 
20 23/03/28 02:09:38 1 4 5168570 1456570 39913650 3892952 1224384 2668568 0 0 NaN 90638580 322646797 
21 23/03/28 02:09:42 3.03 4 5168710 1456750 39927250 3892952 1225396 2667556 0 0 NaN 90638580 322646901 
22 23/03/28 02:09:45 0.5 4 5168810 1456940 39940940 3892952 1228420 2664532 0 0 NaN 90638650 322649699 
23 23/03/28 02:09:49 0.5 4 5168950 1457070 39954570 3892952 1227916 2665036 0 0 NaN 90638650 322649751 
24 23/03/28 02:09:52 6.03 4 5169580 1457360 39967570 3892952 1219352 2673600 0 0 NaN 90639024 322650326 
25 23/03/28 02:09:56 1 4 5169700 1457530 39981240 3892952 1235628 2657324 0 0 NaN 90639164 322650532 
26 23/03/28 02:09:59 0 4 5169850 1457670 39994880 3892952 1234176 2658776 0 0 NaN 90639164 322650636 
27 23/03/28 02:10:03 3.5 4 5170050 1457860 40008460 3892952 1231152 2661800 0 0 NaN 90639164 322650688 
28 23/03/28 02:10:06 1.5 4 5170180 1458050 40022110 3892952 1227120 2665832 0 0 NaN 90639234 322650852 
29 23/03/28 02:10:10 0 4 5170300 1458220 40035800 3892952 1225888 2667064 0 0 NaN 90639491 322651159 
30 23/03/28 02:10:13 4 4 5170440 1458430 40049380 3892952 1229384 2663568 0 0 NaN 90639491 322651263 
31 23/03/28 02:10:17 100 4 5181250 1458660 40052310 3892952 1217288 2675664 0 0 NaN 90639561 322654009 
32 23/03/28 02:10:20 100 4 5195170 1458750 40052310 3892952 1216532 2676420 0 0 NaN 90639561 322654113 
33 23/03/28 02:10:24 100 4 5209060 1458870 40052310 3892952 1216280 2676672 0 0 NaN 90639561 322654217 
34 23/03/28 02:10:27 100 4 5222980 1458960 40052310 3892952 1221752 2671200 0 0 NaN 90639561 322654321 
35 23/03/28 02:10:31 100 4 5236880 1459080 40052310 3892952 1217720 2675232 0 0 NaN 90639631 322654485 
36 23/03/28 02:10:34 100 4 5250800 1459180 40052310 3892952 1217468 2675484 0 0 NaN 90639631 322654537 
37 23/03/28 02:10:38 99.5 4 5264730 1459260 40052310 3892952 1216208 2676744 0 0 NaN 90639888 322654844 
38 23/03/28 02:10:41 100 4 5278640 1459380 40052310 3892952 1215956 2676996 0 0 NaN 90639958 322655008 
39 23/03/28 02:10:45 100 4 5292540 1459490 40052310 3892952 1215200 2677752 0 0 NaN 90639958 322657694 
40 23/03/28 02:10:48 3.52 4 5298030 1459680 40060610 3892952 1225100 2667852 0 0 NaN 90639958 322657798 
41 23/03/28 02:10:52 3.5 4 5298140 1459810 40074190 3892952 1221072 2671880 0 0 NaN 90640028 322657962 
42 23/03/28 02:10:55 1 4 5298260 1459960 40087880 3892952 1225236 2667716 0 0 NaN 90640028 322658066 
43 23/03/28 02:10:59 3.52 4 5298410 1460140 40101460 3892952 1224508 2668444 0 0 NaN 90640285 322658373 
44 23/03/28 02:11:02 3.52 4 5298500 1460300 40115140 3892952 1232004 2660948 0 0 NaN 90640355 322658485 
45 23/03/28 02:11:06 0 4 5298620 1460410 40128800 3892952 1227216 2665736 0 0 NaN 90640355 322658589 
46 23/03/28 02:11:09 5 4 5298720 1460620 40142380 3892952 1223440 2669512 0 0 NaN 90640355 322658693 
47 23/03/28 02:11:13 3.5 4 5298850 1460770 40155990 3892952 1227520 2665432 0 0 NaN 90640425 322658857 
48 23/03/28 02:11:16 0.5 4 5298980 1460910 40169670 3892952 1222760 2670192 0 0 NaN 90640682 322661746 
49 23/03/28 02:11:20 3.98 4 5299140 1461130 40183250 3892952 1218224 2674728 0 0 NaN 90640682 322661850 
50 23/03/28 02:11:23 3.02 4 5299250 1461260 40196930 3892952 1223960 2668992 0 0 NaN 90640752 322662014 
51 23/03/28 02:11:27 0 4 5299380 1461390 40210560 3892952 1219676 2673276 0 0 NaN 90640752 322662066 
52 23/03/28 02:11:30 5.03 4 5299540 1461580 40224130 3892952 1216152 2676800 0 0 NaN 90640752 322662170 
53 23/03/28 02:11:34 1.02 4 5299660 1461710 40237820 3892952 1213100 2679852 0 0 NaN 90640822 322662334 
54 23/03/28 02:11:37 1 4 5299780 1461890 40251470 3892952 1229676 2663276 0 0 NaN 90640822 322662480 
55 23/03/28 02:11:41 3.03 4 5299940 1462070 40265080 3892952 1226908 2666044 0 0 NaN 90640822 322662584 
56 23/03/28 02:11:44 0 4 5300070 1462210 40278740 3892952 1223884 2669068 0 0 NaN 90641079 322665473 
57 23/03/28 02:11:48 100 4 5304400 1462360 40288110 3892952 1208516 2684436 0 0 NaN 90641925 322666367 
58 23/03/28 02:11:51 100 4 5318300 1462470 40288110 3892952 1215612 2677340 0 0 NaN 90641925 322666471 
59 23/03/28 02:11:55 100 4 5332180 1462600 40288110 3892952 1211076 2681876 0 0 NaN 90641925 322666523 
60 23/03/28 02:11:58 100 4 5346110 1462680 40288110 3892952 1210572 2682380 0 0 NaN 90641995 322666687 
61 23/03/28 02:12:02 100 4 5360010 1462800 40288110 3892952 1215572 2677380 0 0 NaN 90641995 322666791 
62 23/03/28 02:12:05 100 4 5373890 1462930 40288110 3892952 1210560 2682392 0 0 NaN 90642252 322667098 
63 23/03/28 02:12:09 100 4 5387780 1463060 40288110 3892952 1206528 2686424 0 0 NaN 90642322 322667262 
64 23/03/28 02:12:12 100 4 5401660 1463190 40288110 3892952 1205772 2687180 0 0 NaN 90642322 322667314 
65 23/03/28 02:12:16 100 4 5415560 1463300 40288110 3892952 1200984 2691968 0 0 NaN 90642322 322670052 
66 23/03/28 02:12:19 100 4 5429490 1463420 40288110 3892952 1200236 2692716 0 0 NaN 90642392 322670216 
67 23/03/28 02:12:23 100 4 5443410 1463520 40288110 3892952 1211884 2681068 0 0 NaN 90642555 322670320 
68 23/03/28 02:12:26 100 4 5457280 1463640 40288110 3892952 1219280 2673672 0 0 NaN 90642649 322670575 
69 23/03/28 02:12:30 100 4 5471200 1463740 40288110 3892952 1214496 2678456 0 0 NaN 90642719 322670739 
70 23/03/28 02:12:33 100 4 5485120 1463830 40288110 3892952 1213740 2679212 0 0 NaN 90642719 322670843 
71 23/03/28 02:12:37 100 4 5498990 1463980 40288110 3892952 1212984 2679968 0 0 NaN 90642719 322670947 
72 23/03/28 02:12:40 100 4 5512890 1464100 40288110 3892952 1211472 2681480 0 0 NaN 90642789 322671059 
73 23/03/28 02:12:44 99.5 4 5526770 1464230 40288110 3892952 1207944 2685008 0 0 NaN 90642789 322671163 
74 23/03/28 02:12:48 100 4 5540670 1464340 40288110 3892952 1206180 2686772 0 0 NaN 90642789 322673901 
75 23/03/28 02:12:51 100 4 5554550 1464460 40288110 3892952 1205928 2687024 0 0 NaN 90643116 322674268 
76 23/03/28 02:12:55 100 4 5568450 1464570 40288110 3892952 1205676 2687276 0 0 NaN 90643186 322674362 
77 23/03/28 02:12:58 100 4 5582350 1464680 40288110 3892952 1205172 2687780 0 0 NaN 90643186 322674466 
78 23/03/28 02:13:02 100 4 5596230 1464820 40288110 3892952 1204920 2688032 0 0 NaN 90643186 322674570 
79 23/03/28 02:13:05 7.5 4 5607660 1465010 40290480 3892952 1222668 2670284 0 0 NaN 90646331 322676484 
80 23/03/28 02:13:09 3.02 4 5607840 1465200 40304050 3892952 1228768 2664184 0 0 NaN 90646331 322676536 
81 23/03/28 02:13:12 3.5 4 5608330 1465460 40317160 3892952 1227524 2665428 0 0 NaN 90646331 322676640 
