Testes Data Hora CpuPercent QntCpus CpuTimesUser CpuTimesSystem CpuTimesIdle MemTotal MemAvaliable MemUsed DiskUsed DiskTotal DiskPercent BytesSend BytesRecv
1 23/03/28 02:24:18 33.33 4 5713280 1491800 42828130 3892952 1221552 2671400 0 0 NaN 90674519 322777777 
2 23/03/28 02:24:22 3.52 4 5714140 1492020 42841650 3892952 1220368 2672584 0 0 NaN 90674519 322777881 
3 23/03/28 02:24:25 1.51 4 5714730 1492220 42854750 3892952 1215584 2677368 0 0 NaN 90674589 322778045 
4 23/03/28 02:24:29 3.03 4 5714930 1492420 42868250 3892952 1226856 2666096 0 0 NaN 90674589 322778097 
5 23/03/28 02:24:32 0.5 4 5715100 1492610 42881800 3892952 1229304 2663648 0 0 NaN 90674846 322778404 
6 23/03/28 02:24:36 100 4 5717730 1492810 42892880 3892952 1224244 2668708 0 0 NaN 90674916 322778568 
7 23/03/28 02:24:39 100 4 5731600 1492950 42892880 3892952 1217944 2675008 0 0 NaN 90674916 322778672 
8 23/03/28 02:24:43 99.5 4 5745490 1493090 42892880 3892952 1217468 2675484 0 0 NaN 90674916 322778724 
9 23/03/28 02:24:46 100 4 5759380 1493190 42892880 3892952 1223796 2669156 0 0 NaN 90674916 322781462 
10 23/03/28 02:24:50 99.5 4 5773240 1493350 42892880 3892952 1210944 2682008 0 0 NaN 90674986 322781626 
11 23/03/28 02:24:53 100 4 5787140 1493460 42892880 3892952 1210188 2682764 0 0 NaN 90675360 322782201 
12 23/03/28 02:24:57 100 4 5801040 1493580 42892880 3892952 1217096 2675856 0 0 NaN 90675360 322782305 
13 23/03/28 02:25:00 100 4 5814940 1493700 42892880 3892952 1213064 2679888 0 0 NaN 90675430 322782417 
14 23/03/28 02:25:04 100 4 5828870 1493820 42892880 3892952 1210040 2682912 0 0 NaN 90675430 322782521 
15 23/03/28 02:25:07 100 4 5842710 1494000 42892880 3892952 1206260 2686692 0 0 NaN 90675430 322782625 
16 23/03/28 02:25:11 100 4 5856620 1494100 42892880 3892952 1209788 2683164 0 0 NaN 90675757 322782940 
17 23/03/28 02:25:14 100 4 5870460 1494280 42892880 3892952 1212000 2680952 0 0 NaN 90675757 322783044 
18 23/03/28 02:25:18 100 4 5884380 1494420 42892880 3892952 1215024 2677928 0 0 NaN 90675757 322785782 
19 23/03/28 02:25:21 100 4 5898240 1494560 42892880 3892952 1210740 2682212 0 0 NaN 90675827 322785946 
20 23/03/28 02:25:25 2.51 4 5903960 1494750 42900940 3892952 1225788 2667164 0 0 NaN 90675827 322786050 
21 23/03/28 02:25:28 3.03 4 5904060 1494870 42914560 3892952 1221252 2671700 0 0 NaN 90675827 322786102 
22 23/03/28 02:25:32 0 4 5904180 1494980 42928240 3892952 1225992 2666960 0 0 NaN 90676154 322786469 
23 23/03/28 02:25:35 6 4 5904540 1495220 42941590 3892952 1218216 2674736 0 0 NaN 90676154 322786615 
24 23/03/28 02:25:39 2.54 4 5904630 1495380 42955240 3892952 1219988 2672964 0 0 NaN 90676154 322786719 
25 23/03/28 02:25:42 0.5 4 5904750 1495550 42968930 3892952 1219736 2673216 0 0 NaN 90676224 322786831 
26 23/03/28 02:25:46 3.52 4 5904940 1495730 42982480 3892952 1218756 2674196 0 0 NaN 90676224 322789569 
27 23/03/28 02:25:49 5.03 4 5905070 1495920 42996150 3892952 1232648 2660304 0 0 NaN 90676387 322789673 
28 23/03/28 02:25:53 0 4 5905210 1496030 43009830 3892952 1228112 2664840 0 0 NaN 90676551 322789988 
29 23/03/28 02:25:56 3.03 4 5905370 1496200 43023390 3892952 1226380 2666572 0 0 NaN 90676551 322790092 
30 23/03/28 02:26:00 3.02 4 5905520 1496380 43036980 3892952 1225876 2667076 0 0 NaN 90676551 322790196 
31 23/03/28 02:26:03 0 4 5905660 1496520 43050640 3892952 1229084 2663868 0 0 NaN 90676551 322790300 
32 23/03/28 02:26:07 5.03 4 5905810 1496750 43064220 3892952 1227096 2665856 0 0 NaN 90676621 322790464 
33 23/03/28 02:26:10 1 4 5905950 1496900 43077890 3892952 1232012 2660940 0 0 NaN 90676878 322790719 
34 23/03/28 02:26:14 0.5 4 5906120 1497020 43091500 3892952 1226244 2666708 0 0 NaN 90676878 322790823 
35 23/03/28 02:26:17 3.55 4 5906260 1497180 43105080 3892952 1225236 2667716 0 0 NaN 90676948 322793621 
36 23/03/28 02:26:21 0.5 4 5906460 1497340 43118590 3892952 1227956 2664996 0 0 NaN 90676948 322793725 
37 23/03/28 02:26:24 0.51 4 5906990 1497500 43131780 3892952 1229972 2662980 0 0 NaN 90676948 322793777 
38 23/03/28 02:26:28 100 4 5915390 1497750 43137110 3892952 1212588 2680364 0 0 NaN 90677275 322794144 
39 23/03/28 02:26:31 100 4 5929300 1497860 43137110 3892952 1208052 2684900 0 0 NaN 90677275 322794248 
40 23/03/28 02:26:35 100 4 5943190 1497980 43137110 3892952 1213880 2679072 0 0 NaN 90677275 322794352 
41 23/03/28 02:26:38 100 4 5957100 1498090 43137110 3892952 1222620 2670332 0 0 NaN 90677345 322794464 
42 23/03/28 02:26:42 100 4 5971000 1498200 43137110 3892952 1219092 2673860 0 0 NaN 90677345 322794568 
43 23/03/28 02:26:46 100 4 5984930 1498280 43137110 3892952 1214556 2678396 0 0 NaN 90677345 322797306 
44 23/03/28 02:26:49 100 4 5998860 1498380 43137110 3892952 1210272 2682680 0 0 NaN 90678448 322798403 
45 23/03/28 02:26:53 100 4 6012750 1498510 43137110 3892952 1213992 2678960 0 0 NaN 90678448 322798455 
46 23/03/28 02:26:56 100 4 6026670 1498600 43137110 3892952 1209960 2682992 0 0 NaN 90678448 322798559 
47 23/03/28 02:27:00 99.5 4 6040550 1498730 43137110 3892952 1206180 2686772 0 0 NaN 90678518 322798723 
48 23/03/28 02:27:03 100 4 6054360 1498890 43137110 3892952 1206180 2686772 0 0 NaN 90678681 322798893 
49 23/03/28 02:27:07 100 4 6068270 1499000 43137110 3892952 1213728 2679224 0 0 NaN 90678775 322799082 
50 23/03/28 02:27:10 100 4 6082170 1499100 43137110 3892952 1208968 2683984 0 0 NaN 90678845 322799246 
51 23/03/28 02:27:14 100 4 6096100 1499190 43137110 3892952 1212740 2680212 0 0 NaN 90678845 322799350 
