DATA_ATUAL HORA_ATUAL PID  MEMTOTAL %CPU %MEM TIME MSECOND
2023-03-26 21:05:46 21651 3892948 14.0  0.3 00:00:00 50400000
2023-03-26 21:05:47 21651 3892948  4.6  0.3 00:00:00 16560000
2023-03-26 21:05:48 21651 3892948  4.0  0.3 00:00:00 14400000
2023-03-26 21:05:49 21651 3892948  3.2  0.3 00:00:00 11520000
2023-03-26 21:05:50 21651 3892948  2.6  0.3 00:00:00 9360000
2023-03-26 21:05:51 21651 3892948  2.2  0.3 00:00:00 7.92e+06
2023-03-26 21:05:52 21651 3892948  2.0  0.3 00:00:00 7200000
2023-03-26 21:05:54 21651 3892948  1.7  0.3 00:00:00 6120000
2023-03-26 21:05:55 21651 3892948  1.6  0.3 00:00:00 5760000
2023-03-26 21:05:56 21651 3892948  1.5  0.3 00:00:00 5400000
2023-03-26 21:05:57 21651 3892948  1.4  0.3 00:00:00 5040000
2023-03-26 21:05:58 21651 3892948  1.3  0.3 00:00:00 4680000
2023-03-26 21:05:59 21651 3892948  1.2  0.3 00:00:00 4320000
2023-03-26 21:06:00 21651 3892948  1.0  0.3 00:00:00 3600000
2023-03-26 21:06:01 21651 3892948  1.0  0.3 00:00:00 3600000
2023-03-26 21:06:02 21651 3892948  1.0  0.3 00:00:00 3600000
2023-03-26 21:06:03 21651 3892948  0.9  0.3 00:00:00 3240000
