DATA_ATUAL HORA_ATUAL PID  MEMTOTAL %CPU %MEM TIME MSECOND
2023-03-28 01:32:02 38043 3892952  238  2.9 00:00:04 856804000
2023-03-28 01:32:03 38043 3892952  159  2.9 00:00:04 572404000
2023-03-28 01:32:04 38043 3892952  120  2.9 00:00:04 432004000
2023-03-28 01:32:05 38043 3892952 96.0  2.8 00:00:04 345604000
2023-03-28 01:32:06 38043 3892952 80.1  2.8 00:00:04 288364000
2023-03-28 01:32:07 38043 3892952 68.7  2.8 00:00:04 247324000
2023-03-28 01:32:08 38043 3892952 60.1  2.8 00:00:04 216364000
2023-03-28 01:32:09 38043 3892952 48.3  2.8 00:00:04 173884000
2023-03-28 01:32:10 38043 3892952 43.9  2.7 00:00:04 158044000
2023-03-28 01:32:11 38043 3892952 40.2  2.7 00:00:04 144724000
2023-03-28 01:32:12 38043 3892952 37.2  2.7 00:00:04 133924000
2023-03-28 01:32:13 38043 3892952 34.6  2.7 00:00:04 124564000
2023-03-28 01:32:14 38043 3892952 32.3  2.7 00:00:04 1.16284e+08
2023-03-28 01:32:15 38043 3892952 30.3  2.7 00:00:04 109084000
2023-03-28 01:32:16 38043 3892952 28.5  2.7 00:00:04 102604000
2023-03-28 01:32:17 38043 3892952 27.0  2.7 00:00:04 97204000
2023-03-28 01:32:18 38043 3892952 25.5  2.7 00:00:04 91804000
2023-03-28 01:32:19 38043 3892952 24.4  2.7 00:00:04 87844000
2023-03-28 01:32:21 38043 3892952 23.2  2.7 00:00:04 83524000
2023-03-28 01:32:22 38043 3892952 22.1  2.7 00:00:04 79564000
2023-03-28 01:32:23 38043 3892952 21.2  2.7 00:00:04 76324000
2023-03-28 01:32:24 38043 3892952 20.3  2.7 00:00:04 73084000
2023-03-28 01:32:25 38043 3892952 19.5  2.7 00:00:04 70204000
2023-03-28 01:32:26 38043 3892952 18.8  2.7 00:00:04 67684000
2023-03-28 01:32:27 38043 3892952 18.1  2.7 00:00:04 6.5164e+07
2023-03-28 01:32:28 38043 3892952 17.5  2.7 00:00:04 63004000
2023-03-28 01:32:29 38043 3892952 16.8  2.7 00:00:04 60484000
2023-03-28 01:32:30 38043 3892952 15.8  2.7 00:00:04 56884000
2023-03-28 01:32:31 38043 3892952 15.3  2.7 00:00:04 55084000
2023-03-28 01:32:32 38043 3892952 14.9  2.7 00:00:04 53644000
2023-03-28 01:32:33 38043 3892952 14.4  2.7 00:00:04 51844000
2023-03-28 01:32:34 38043 3892952 14.0  2.7 00:00:04 50404000
2023-03-28 01:32:35 38043 3892952 13.6  2.7 00:00:04 48964000
2023-03-28 01:32:36 38043 3892952 13.3  2.7 00:00:04 47884000
